"","Sample_set","Site","Simplified_zone_name","MinEle_NAV","MaxEle_NAV","MinEle_MTL","MaxEle_MTL","MNEle_NAV","stEle_NAV","MNEle_MTL","stEle_MTL","Site3","Simplified_zone_name3","MinEle_NAV3","MaxEle_NAV3","MinEle_MTL3","MaxEle_MTL3","MNEle_NAV3","stEle_NAV3","MNEle_MTL3","stEle_MTL3","MN_change_NAV","MN_change_MTL"
"1","1","Cockroach Bay","Coastal upland",0.655,0.795,0.75,0.89,0.7185,0.0526830143404874,0.8135,0.0526830143404874,"Cockroach Bay","Coastal upland",0.72590018,0.89658287,0.82090018,0.99158287,0.77255894375,0.0544311591726784,0.86755894375,0.0544311591726784,0.05405894375,0.05405894375
"2","1","Cockroach Bay","Mangrove",0.081,0.221,0.176,0.316,0.177071428571429,0.047109470362149,0.272071428571429,0.047109470362149,"Cockroach Bay","Mangrove",0.16928683,0.42622732,0.26428683,0.52122732,0.282513677027027,0.0477028777282979,0.377513677027027,0.0477028777282979,0.105442248455598,0.105442248455598
"3","1","Cockroach Bay","Salt barren",0.179,0.418,0.274,0.513,0.224631578947368,0.060446680385201,0.319631578947368,0.060446680385201,"Cockroach Bay","Salt barren",0.44557492,0.64401391,0.54057492,0.73901391,0.5532169925,0.0819502874155157,0.6482169925,0.0819502874155157,0.328585413552632,0.328585413552632
"4","1","Cockroach Bay","Salt marsh",0.453,0.713,0.548,0.808,0.631314285714286,0.0626018095155551,0.726314285714286,0.0626018095155551,"Cockroach Bay","Salt marsh",0.61450867,0.78016914,0.70950867,0.87516914,0.708177053333333,0.0489249204760559,0.803177053333333,0.0489249204760559,0.0768627676190476,0.0768627676190476
"5","1","Cockroach Bay","Upland transition",0.554,0.706,0.649,0.801,0.604833333333333,0.0548431095641619,0.699833333333333,0.0548431095641619,"Cockroach Bay","Upland transition",0.58674093,0.62131118,0.68174093,0.71631118,0.605635368333333,0.0131876317322883,0.700635368333333,0.0131876317322883,0.000802034999999979,0.000802034999999979
"6","1","Fort De Soto","Coastal upland",0.674,1.23,0.805,1.361,0.8796,0.169263240086099,1.0106,0.169263240086099,"Fort De Soto","Coastal upland",0.71815226,1.17140264,0.84915226,1.30240264,0.947110361,0.151222728162613,1.078110361,0.151222728162613,0.067510361,0.0675103610000001
"7","1","Fort De Soto","Mangrove",-0.159,0.476,-0.028,0.607,0.06085,0.156195988559583,0.19185,0.156195988559583,"Fort De Soto","Mangrove",0.02918791,0.56577885,0.16018791,0.69677885,0.200665541052632,0.150773347349802,0.331665541052632,0.150773347349802,0.139815541052632,0.139815541052632
"8","1","Fort De Soto","Salt marsh",0.312,0.474,0.443,0.605,0.3755,0.0288350481185657,0.5065,0.0288350481185657,"Fort De Soto","Salt marsh",0.40155794,0.51407519,0.53255794,0.64507519,0.453334776538462,0.0278361289717192,0.584334776538462,0.0278361289717192,0.0778347765384615,0.0778347765384616
"9","1","Fort De Soto","Salt-tolerant trees",0.295,0.467,0.426,0.598,0.385875,0.0517157293931611,0.516875,0.0517157293931611,"Fort De Soto","Salt-tolerant trees",0.35258528,0.54259378,0.48358528,0.67359378,0.4571329425,0.056091730443359,0.5881329425,0.056091730443359,0.0712579425000001,0.0712579425000001
"10","1","Fort De Soto","Upland transition",0.435,0.647,0.566,0.778,0.525333333333333,0.0746106560753891,0.656333333333333,0.0746106560753891,"Fort De Soto","Upland transition",0.50841487,0.68735305,0.63941487,0.81835305,0.581199852222222,0.0623414536121277,0.712199852222222,0.0623414536121277,0.0558665188888889,0.0558665188888889
"11","1","Harbor Palms","Mangrove",-0.148,0.723,-0.113,0.758,0.375195652173913,0.218613267826006,0.410195652173913,0.218613267826006,"Harbor Palms","Mangrove",-0.29871181,0.78506378,-0.26371181,0.82006378,0.402281769529412,0.216395613008054,0.437281769529412,0.216395613008054,0.0270861173554987,0.0270861173554987
"12","1","Harbor Palms","Salt marsh",-0.105,0.334,-0.07,0.369,0.242190476190476,0.0977985782348696,0.277190476190476,0.0977985782348696,"Harbor Palms","Salt marsh",0.29571719,0.41353769,0.33071719,0.44853769,0.376506280526316,0.0314362211748879,0.411506280526316,0.0314362211748879,0.13431580433584,0.13431580433584
"13","1","Harbor Palms","Salt-tolerant trees",0.743,0.996,0.778,1.031,0.8785,0.129343212681094,0.9135,0.129343212681094,"Harbor Palms","Salt-tolerant trees",0.74417519,0.93980018,0.77917519,0.97480018,0.844661227,0.0631823050270227,0.879661227,0.0631823050270227,-0.033838773,-0.0338387729999999
"14","1","Harbor Palms","Upland transition",0.703,0.777,0.738,0.812,0.74775,0.0286593290719993,0.78275,0.0286593290719993,"Harbor Palms","Upland transition",0.72098069,0.77242191,0.75598069,0.80742191,0.747394772,0.0228070559165408,0.782394772,0.0228070559165408,-0.000355227999999985,-0.000355227999999985
"15","1","Little Manatee River (Mill Bayou)","Coastal upland",0.467258385,0.667511979,0.558258385,0.758511979,0.5800343815,0.0772135529569023,0.6710343815,0.0772135529569023,"Little Manatee River (Mill Bayou)","Coastal upland",0.62183632,0.83518796,0.71283632,0.92618796,0.726657613333333,0.0585159611340844,0.817657613333333,0.0585159611340844,0.146623231833333,0.146623231833333
"16","1","Little Manatee River (Mill Bayou)","Mangrove",-0.113690396,0.084734397,-0.022690396,0.175734397,0.01120139975,0.0712397381182265,0.10220139975,0.0712397381182265,"Little Manatee River (Mill Bayou)","Mangrove",-0.26964167,0.16156756,-0.17864167,0.25256756,0.0581576577777778,0.0944520353160558,0.149157657777778,0.0944520353160558,0.0469562580277778,0.0469562580277778
"17","1","Little Manatee River (Mill Bayou)","Salt marsh",-0.363321588,0.149656795,-0.272321588,0.240656795,0.0570585582142857,0.0807888833821516,0.148058558214286,0.0807888833821516,"Little Manatee River (Mill Bayou)","Salt marsh",0.08600575,0.2977705,0.17700575,0.3887705,0.165615306515152,0.0449214599221926,0.256615306515152,0.0449214599221926,0.108556748300866,0.108556748300866
"18","1","Little Manatee River (Mill Bayou)","Upland transition",0.108508797,0.552602382,0.199508797,0.643602382,0.22981919275,0.176762822100705,0.32081919275,0.176762822100705,"Little Manatee River (Mill Bayou)","Upland transition",0.37438648,0.67352584,0.46538648,0.76452584,0.52395616,0.211523469975804,0.61495616,0.211523469975804,0.29413696725,0.29413696725
"19","1","Little Manatee River (Mill Bayou)","Water body",-0.391058387,-0.31150559,-0.300058387,-0.22050559,-0.3512819885,0.0562523222210568,-0.2602819885,0.0562523222210568,"Little Manatee River (Mill Bayou)","Water body",-0.21262635,-0.21262635,-0.12162635,-0.12162635,-0.21262635,NA,-0.12162635,NA,0.1386556385,0.1386556385
"20","1","Manatee River (Hidden Harbor)","Coastal upland",0.345643189,0.93482157,0.432643189,1.02182157,0.515349050111111,0.137139098456331,0.602349050111111,0.137139098456331,"Manatee River (Hidden Harbor)","Coastal upland",0.42857775,0.77981036,0.51557775,0.86681036,0.5798132705,0.103836449824154,0.6668132705,0.103836449824154,0.0644642203888889,0.0644642203888889
"21","1","Manatee River (Hidden Harbor)","Mangrove",0.062179198,0.101803197,0.149179198,0.188803197,0.0819911975,0.028018398390629,0.1689911975,0.028018398390629,"Manatee River (Hidden Harbor)","Mangrove",0.27989087,0.38207346,0.36689087,0.46907346,0.3275320975,0.0366436367089281,0.4145320975,0.0366436367089281,0.2455409,0.2455409
"22","1","Manatee River (Hidden Harbor)","Salt marsh",0.017068799,0.344728789,0.104068799,0.431728789,0.18486119398,0.0668674027673916,0.27186119398,0.0668674027673916,"Manatee River (Hidden Harbor)","Salt marsh",0.26015574,0.43639462,0.34715574,0.52339462,0.344941865116279,0.0406035550092877,0.431941865116279,0.0406035550092877,0.160080671136279,0.160080671136279
"23","1","Manatee River (Hidden Harbor)","Upland transition",0.165811195,0.442569586,0.252811195,0.529569586,0.3187598299,0.0691780045103918,0.4057598299,0.0691780045103918,"Manatee River (Hidden Harbor)","Upland transition",0.34833953,0.68441426,0.43533953,0.77141426,0.444521042777778,0.0925491184999456,0.531521042777778,0.0925491184999456,0.125761212877778,0.125761212877778
"24","1","Mosaic (Archie Creek)","Mangrove",0.060655198,0.210311993,0.084655198,0.234311993,0.151256995125,0.0347004651606394,0.175256995125,0.0347004651606394,"Mosaic (Archie Creek)","Coastal upland",0.83220402,0.96723209,0.85620402,0.99123209,0.8696788025,0.0460606883653716,0.8936788025,0.0460606883653716,0.718421807375,0.718421807375
"25","1","Mosaic (Archie Creek)","Salt barren",0.039014399,0.208483193,0.063014399,0.232483193,0.123123956075,0.0350030641736794,0.147123956075,0.0350030641736794,"Mosaic (Archie Creek)","Mangrove",0.12702579,0.36920712,0.15102579,0.39320712,0.269732482705882,0.0595460576700344,0.293732482705882,0.0595460576700344,0.146608526630882,0.146608526630882
"26","1","Mosaic (Archie Creek)","Salt marsh",-0.057911998,0.217017593,-0.033911998,0.241017593,0.156549964192308,0.0564685118003385,0.180549964192308,0.0564685118003385,"Mosaic (Archie Creek)","Salt marsh",0.25840788,0.43640733,0.28240788,0.46040733,0.314540957272727,0.0514557298474397,0.338540957272727,0.0514557298474397,0.15799099308042,0.15799099308042
"27","1","Mosaic (Archie Creek)","Upland transition",0.236219992,0.740054376,0.260219992,0.764054376,0.4881067042,0.210357553817076,0.5121067042,0.210357553817076,"Mosaic (Archie Creek)","Upland transition",0.65613513,0.83119704,0.68013513,0.85519704,0.753547706666667,0.0580581925976004,0.777547706666667,0.0580581925976004,0.265441002466667,0.265441002466667
"28","1","TECO (Big Bend)","Coastal upland",0.672388778,1.092403165,0.771388778,1.191403165,0.910471437333333,0.137399431011783,1.00947143733333,0.137399431011783,"TECO (Big Bend)","Coastal upland",0.99746054,1.1558429,1.09646054,1.2548429,1.063542328,0.0684583035193655,1.162542328,0.0684583035193654,0.153070890666667,0.153070890666667
"29","1","TECO (Big Bend)","Mangrove",0.090525597,0.61081918,0.189525597,0.70981918,0.326994405918367,0.0972146670084886,0.425994405918367,0.0972146670084886,"TECO (Big Bend)","Mangrove",0.07116239,0.55384937,0.17016239,0.65284937,0.394273903606557,0.0705134081934305,0.493273903606557,0.0705134081934305,0.06727949768819,0.06727949768819
"30","1","TECO (Big Bend)","Salt barren",0.359968788,0.428853586,0.458968788,0.527853586,0.397662387055556,0.0267712106760396,0.496662387055556,0.0267712106760396,"TECO (Big Bend)","Salt barren",0.45291377,0.50164631,0.55191377,0.60064631,0.470085748333333,0.0176033811761439,0.569085748333333,0.0176033811761439,0.0724233612777778,0.0724233612777778
"31","1","TECO (Big Bend)","Salt marsh",0.341985589,0.378561588,0.440985589,0.477561588,0.364616988125,0.0113774824944286,0.463616988125,0.0113774824944286,"TECO (Big Bend)","Salt marsh",0.39826882,0.46690322,0.49726882,0.56590322,0.433089359230769,0.0230747103136765,0.532089359230769,0.0230747103136766,0.0684723711057693,0.0684723711057693
"32","1","TECO (Big Bend)","Salt-tolerant trees",0.31851599,0.533095183,0.41751599,0.632095183,0.390563087625,0.0697975696210866,0.489563087625,0.0697975696210866,"TECO (Big Bend)","Salt-tolerant trees",0.50539525,1.05109478,0.60439525,1.15009478,0.703516522,0.205632209496913,0.802516522,0.205632209496913,0.312953434375,0.312953434375
"33","1","TECO (Big Bend)","Upland transition",0.441959986,0.63124078,0.540959986,0.73024078,0.507274269571429,0.0712360277623034,0.606274269571429,0.0712360277623034,"TECO (Big Bend)","Upland transition",0.52510922,0.87861905,0.62410922,0.97761905,0.70818599,0.130443824638696,0.80718599,0.130443824638696,0.200911720428572,0.200911720428571
"34","1","Upper Tampa Bay Park","Coastal upland",0.692200778,1.035710367,0.709200778,1.052710367,0.913705704055556,0.0801319393598403,0.930705704055556,0.0801319393598403,"Upper Tampa Bay Park","Coastal upland",0.929065,1.30929314,0.946065,1.32629314,1.11908096090909,0.105056045794984,1.13608096090909,0.105056045794984,0.205375256853535,0.205375256853535
"35","1","Upper Tampa Bay Park","Mangrove",-0.245973592,0.513892784,-0.228973592,0.530892784,0.292695076428571,0.219847864418233,0.309695076428571,0.219847864418233,"Upper Tampa Bay Park","Mangrove",-0.09613876,0.754029,-0.07913876,0.771029,0.429061676,0.247926293572374,0.446061676,0.247926293572374,0.136366599571429,0.136366599571429
"36","1","Upper Tampa Bay Park","Salt barren",0.496214384,0.733348777,0.513214384,0.750348777,0.552975421149254,0.0491047372453485,0.569975421149254,0.0491047372453485,"Upper Tampa Bay Park","Salt barren",0.52443999,0.8202888,0.54143999,0.8372888,0.638951865373134,0.074278668080922,0.655951865373134,0.074278668080922,0.0859764442238806,0.0859764442238806
"37","1","Upper Tampa Bay Park","Salt marsh",0.440131186,0.830884773,0.457131186,0.847884773,0.636806201740741,0.109082094468605,0.653806201740741,0.109082094468605,"Upper Tampa Bay Park","Salt marsh",0.55061694,0.99700895,0.56761694,1.01400895,0.773924243,0.11386323641858,0.790924243,0.11386323641858,0.137118041259259,0.137118041259259
"38","1","Upper Tampa Bay Park","Salt-tolerant trees",0.567232782,0.698906378,0.584232782,0.715906378,0.6172199804,0.0528953138853869,0.6342199804,0.0528953138853869,"Upper Tampa Bay Park","Salt-tolerant trees",0.69006163,0.81780709,0.70706163,0.83480709,0.77212478,0.0581826974397864,0.78912478,0.0581826974397864,0.1549047996,0.1549047996
"39","1","Upper Tampa Bay Park","Upland transition",0.440131186,0.557479182,0.457131186,0.574479182,0.501802383833333,0.0526676977701817,0.518802383833333,0.0526676977701817,"Upper Tampa Bay Park","Upland transition",0.54676159,0.71367865,0.56376159,0.73067865,0.63194226,0.0619326982361253,0.64894226,0.0619326982361253,0.130139876166667,0.130139876166667
"40","1","Upper Tampa Bay Park","Water body",0.176783994,0.471830385,0.193783994,0.488830385,0.261766747185185,0.0809043835079708,0.278766747185185,0.0809043835079708,"Upper Tampa Bay Park","Water body",0.31079999,0.51842907,0.32779999,0.53542907,0.3755219916,0.0638181732549417,0.3925219916,0.0638181732549417,0.113755244414815,0.113755244414815
"41","1","Weedon Island","Coastal upland",0.721,1.005,0.799,1.083,0.812714285714286,0.104506322433484,0.890714285714286,0.104506322433485,"Weedon Island","Coastal upland",0.74161041,1.04696903,0.81961041,1.12496903,0.860177895,0.105613531415105,0.938177895,0.105613531415105,0.0474636092857144,0.0474636092857144
"42","1","Weedon Island","Mangrove",-0.055,0.394,0.023,0.472,0.19016,0.146399760928767,0.26816,0.146399760928767,"Weedon Island","Mangrove",0.02731724,0.47722845,0.10531724,0.55522845,0.332041105833333,0.131383109527364,0.410041105833333,0.131383109527364,0.141881105833333,0.141881105833333
"43","1","Weedon Island","Salt barren",0.36,0.555,0.438,0.633,0.451416666666667,0.0700732841496326,0.529416666666667,0.0700732841496326,"Weedon Island","Salt barren",0.47604799,0.62432353,0.55404799,0.70232353,0.544739322142857,0.0468612627854154,0.622739322142857,0.0468612627854154,0.0933226554761905,0.0933226554761905
"44","1","Weedon Island","Salt marsh",-0.051,0.669,0.027,0.747,0.327181818181818,0.331052206813916,0.405181818181818,0.331052206813916,"Weedon Island","Salt marsh",-0.0750664,0.77151204,0.00293359999999999,0.84951204,0.370614252666667,0.358061978328129,0.448614252666667,0.358061978328129,0.0434324344848485,0.0434324344848485
"45","1","Weedon Island","Upland transition",0.635,0.774,0.713,0.852,0.705818181818182,0.0430460641216318,0.783818181818182,0.0430460641216318,"Weedon Island","Upland transition",0.75377558,0.86739604,0.83177558,0.94539604,0.802278941818182,0.0347425468342946,0.880278941818182,0.0347425468342946,0.09646076,0.09646076
